nb_fingerprints,nb_cores,nb_processes,avg,max,min,median,q1,q3
5000,2,1,0.048215,0.112955,0.000224,0.006796,0.000586,0.105024
5000,2,2,0.047977,0.118216,0.000470,0.004230,0.001004,0.105158
5000,2,4,0.049367,0.137273,0.000535,0.004188,0.001092,0.106012
5000,2,8,0.066953,0.288884,0.001127,0.105145,0.003077,0.108962
10000,2,1,0.049832,0.114796,0.000407,0.015529,0.000870,0.105408
10000,2,2,0.048541,0.113043,0.000371,0.012089,0.000639,0.104564
10000,2,4,0.049199,0.115290,0.000793,0.010809,0.001082,0.105327
10000,2,8,0.072094,0.350677,0.001190,0.104954,0.003853,0.108776
15000,2,1,0.051050,0.116737,0.000239,0.021520,0.000708,0.104971
15000,2,2,0.049423,0.110758,0.000416,0.014068,0.000649,0.105218
15000,2,4,0.050573,0.122424,0.000721,0.014752,0.001368,0.105156
15000,2,8,0.080060,0.417058,0.001193,0.105185,0.004307,0.111104
